Gray codes for n = 10 bit
i	 	p		B
0	-	1	-	0 0 0 0 0 0 0 0 0 0 
1	-	1	-	0 0 0 0 0 0 0 0 0 1 
2	-	2	-	0 0 0 0 0 0 0 0 1 1 
3	-	1	-	0 0 0 0 0 0 0 0 1 0 
4	-	3	-	0 0 0 0 0 0 0 1 1 0 
5	-	1	-	0 0 0 0 0 0 0 1 1 1 
6	-	2	-	0 0 0 0 0 0 0 1 0 1 
7	-	1	-	0 0 0 0 0 0 0 1 0 0 
8	-	4	-	0 0 0 0 0 0 1 1 0 0 
9	-	1	-	0 0 0 0 0 0 1 1 0 1 
10	-	2	-	0 0 0 0 0 0 1 1 1 1 
11	-	1	-	0 0 0 0 0 0 1 1 1 0 
12	-	3	-	0 0 0 0 0 0 1 0 1 0 
13	-	1	-	0 0 0 0 0 0 1 0 1 1 
14	-	2	-	0 0 0 0 0 0 1 0 0 1 
15	-	1	-	0 0 0 0 0 0 1 0 0 0 
16	-	5	-	0 0 0 0 0 1 1 0 0 0 
17	-	1	-	0 0 0 0 0 1 1 0 0 1 
18	-	2	-	0 0 0 0 0 1 1 0 1 1 
19	-	1	-	0 0 0 0 0 1 1 0 1 0 
20	-	3	-	0 0 0 0 0 1 1 1 1 0 
21	-	1	-	0 0 0 0 0 1 1 1 1 1 
22	-	2	-	0 0 0 0 0 1 1 1 0 1 
23	-	1	-	0 0 0 0 0 1 1 1 0 0 
24	-	4	-	0 0 0 0 0 1 0 1 0 0 
25	-	1	-	0 0 0 0 0 1 0 1 0 1 
26	-	2	-	0 0 0 0 0 1 0 1 1 1 
27	-	1	-	0 0 0 0 0 1 0 1 1 0 
28	-	3	-	0 0 0 0 0 1 0 0 1 0 
29	-	1	-	0 0 0 0 0 1 0 0 1 1 
30	-	2	-	0 0 0 0 0 1 0 0 0 1 
31	-	1	-	0 0 0 0 0 1 0 0 0 0 
32	-	6	-	0 0 0 0 1 1 0 0 0 0 
33	-	1	-	0 0 0 0 1 1 0 0 0 1 
34	-	2	-	0 0 0 0 1 1 0 0 1 1 
35	-	1	-	0 0 0 0 1 1 0 0 1 0 
36	-	3	-	0 0 0 0 1 1 0 1 1 0 
37	-	1	-	0 0 0 0 1 1 0 1 1 1 
38	-	2	-	0 0 0 0 1 1 0 1 0 1 
39	-	1	-	0 0 0 0 1 1 0 1 0 0 
40	-	4	-	0 0 0 0 1 1 1 1 0 0 
41	-	1	-	0 0 0 0 1 1 1 1 0 1 
42	-	2	-	0 0 0 0 1 1 1 1 1 1 
43	-	1	-	0 0 0 0 1 1 1 1 1 0 
44	-	3	-	0 0 0 0 1 1 1 0 1 0 
45	-	1	-	0 0 0 0 1 1 1 0 1 1 
46	-	2	-	0 0 0 0 1 1 1 0 0 1 
47	-	1	-	0 0 0 0 1 1 1 0 0 0 
48	-	5	-	0 0 0 0 1 0 1 0 0 0 
49	-	1	-	0 0 0 0 1 0 1 0 0 1 
50	-	2	-	0 0 0 0 1 0 1 0 1 1 
51	-	1	-	0 0 0 0 1 0 1 0 1 0 
52	-	3	-	0 0 0 0 1 0 1 1 1 0 
53	-	1	-	0 0 0 0 1 0 1 1 1 1 
54	-	2	-	0 0 0 0 1 0 1 1 0 1 
55	-	1	-	0 0 0 0 1 0 1 1 0 0 
56	-	4	-	0 0 0 0 1 0 0 1 0 0 
57	-	1	-	0 0 0 0 1 0 0 1 0 1 
58	-	2	-	0 0 0 0 1 0 0 1 1 1 
59	-	1	-	0 0 0 0 1 0 0 1 1 0 
60	-	3	-	0 0 0 0 1 0 0 0 1 0 
61	-	1	-	0 0 0 0 1 0 0 0 1 1 
62	-	2	-	0 0 0 0 1 0 0 0 0 1 
63	-	1	-	0 0 0 0 1 0 0 0 0 0 
64	-	7	-	0 0 0 1 1 0 0 0 0 0 
65	-	1	-	0 0 0 1 1 0 0 0 0 1 
66	-	2	-	0 0 0 1 1 0 0 0 1 1 
67	-	1	-	0 0 0 1 1 0 0 0 1 0 
68	-	3	-	0 0 0 1 1 0 0 1 1 0 
69	-	1	-	0 0 0 1 1 0 0 1 1 1 
70	-	2	-	0 0 0 1 1 0 0 1 0 1 
71	-	1	-	0 0 0 1 1 0 0 1 0 0 
72	-	4	-	0 0 0 1 1 0 1 1 0 0 
73	-	1	-	0 0 0 1 1 0 1 1 0 1 
74	-	2	-	0 0 0 1 1 0 1 1 1 1 
75	-	1	-	0 0 0 1 1 0 1 1 1 0 
76	-	3	-	0 0 0 1 1 0 1 0 1 0 
77	-	1	-	0 0 0 1 1 0 1 0 1 1 
78	-	2	-	0 0 0 1 1 0 1 0 0 1 
79	-	1	-	0 0 0 1 1 0 1 0 0 0 
80	-	5	-	0 0 0 1 1 1 1 0 0 0 
81	-	1	-	0 0 0 1 1 1 1 0 0 1 
82	-	2	-	0 0 0 1 1 1 1 0 1 1 
83	-	1	-	0 0 0 1 1 1 1 0 1 0 
84	-	3	-	0 0 0 1 1 1 1 1 1 0 
85	-	1	-	0 0 0 1 1 1 1 1 1 1 
86	-	2	-	0 0 0 1 1 1 1 1 0 1 
87	-	1	-	0 0 0 1 1 1 1 1 0 0 
88	-	4	-	0 0 0 1 1 1 0 1 0 0 
89	-	1	-	0 0 0 1 1 1 0 1 0 1 
90	-	2	-	0 0 0 1 1 1 0 1 1 1 
91	-	1	-	0 0 0 1 1 1 0 1 1 0 
92	-	3	-	0 0 0 1 1 1 0 0 1 0 
93	-	1	-	0 0 0 1 1 1 0 0 1 1 
94	-	2	-	0 0 0 1 1 1 0 0 0 1 
95	-	1	-	0 0 0 1 1 1 0 0 0 0 
96	-	6	-	0 0 0 1 0 1 0 0 0 0 
97	-	1	-	0 0 0 1 0 1 0 0 0 1 
98	-	2	-	0 0 0 1 0 1 0 0 1 1 
99	-	1	-	0 0 0 1 0 1 0 0 1 0 
100	-	3	-	0 0 0 1 0 1 0 1 1 0 
101	-	1	-	0 0 0 1 0 1 0 1 1 1 
102	-	2	-	0 0 0 1 0 1 0 1 0 1 
103	-	1	-	0 0 0 1 0 1 0 1 0 0 
104	-	4	-	0 0 0 1 0 1 1 1 0 0 
105	-	1	-	0 0 0 1 0 1 1 1 0 1 
106	-	2	-	0 0 0 1 0 1 1 1 1 1 
107	-	1	-	0 0 0 1 0 1 1 1 1 0 
108	-	3	-	0 0 0 1 0 1 1 0 1 0 
109	-	1	-	0 0 0 1 0 1 1 0 1 1 
110	-	2	-	0 0 0 1 0 1 1 0 0 1 
111	-	1	-	0 0 0 1 0 1 1 0 0 0 
112	-	5	-	0 0 0 1 0 0 1 0 0 0 
113	-	1	-	0 0 0 1 0 0 1 0 0 1 
114	-	2	-	0 0 0 1 0 0 1 0 1 1 
115	-	1	-	0 0 0 1 0 0 1 0 1 0 
116	-	3	-	0 0 0 1 0 0 1 1 1 0 
117	-	1	-	0 0 0 1 0 0 1 1 1 1 
118	-	2	-	0 0 0 1 0 0 1 1 0 1 
119	-	1	-	0 0 0 1 0 0 1 1 0 0 
